TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,8753,1,0,NaN,1,NaN,0.798828125,NaN
2,9571,1,0,NaN,1,NaN,0.7998046875,NaN
3,10390,1,0,NaN,1,NaN,0.7998046875,NaN
4,11209,1,0,NaN,1,NaN,0.798828125,NaN
5,12027,1,0,NaN,1,NaN,0.7998046875,NaN
6,12846,1,0,NaN,1,NaN,0.7998046875,NaN
7,13665,1,0,NaN,1,NaN,0.7998046875,NaN
8,14484,1,0,NaN,1,NaN,0.7998046875,NaN
9,15303,1,1,NaN,NaN,1,1.119140625,1.3720703125
10,16449,1,0,0.2529296875,1,NaN,0.7998046875,NaN
11,17268,1,0,NaN,1,NaN,0.7998046875,NaN
12,18087,1,0,NaN,1,NaN,0.7998046875,NaN
13,18906,1,0,NaN,1,NaN,0.7998046875,NaN
14,19725,1,0,NaN,1,NaN,0.7998046875,NaN
15,20544,1,0,NaN,1,NaN,0.798828125,NaN
16,21362,1,0,NaN,1,NaN,0.7998046875,NaN
17,22181,1,0,NaN,1,NaN,0.7998046875,NaN
18,23000,1,0,NaN,1,NaN,0.7998046875,NaN
19,23819,1,0,NaN,1,NaN,0.7998046875,NaN
20,24638,1,0,NaN,1,NaN,0.7998046875,NaN
21,25457,1,1,NaN,NaN,1,1.119140625,1.6123046875
22,26603,1,0,0.4931640625,1,NaN,0.7998046875,NaN
23,27422,1,0,NaN,1,NaN,0.7998046875,NaN
24,28241,1,0,NaN,1,NaN,0.7998046875,NaN
25,29060,1,0,NaN,1,NaN,0.7998046875,NaN
26,29879,1,0,NaN,1,NaN,0.798828125,NaN
27,30697,1,0,NaN,1,NaN,0.7998046875,NaN
28,31516,1,0,NaN,1,NaN,0.7998046875,NaN
29,32335,1,0,NaN,1,NaN,0.7998046875,NaN
30,33154,1,0,NaN,1,NaN,0.7998046875,NaN
31,33973,1,0,NaN,0,NaN,0.7998046875,1.10546875
32,34792,1,0,0.3056640625,1,NaN,0.7998046875,NaN
33,35611,1,1,NaN,NaN,1,1.119140625,1.7451171875
34,36757,1,0,0.6259765625,1,NaN,0.7998046875,NaN
35,37576,1,0,NaN,1,NaN,0.7998046875,NaN
36,38395,1,0,NaN,1,NaN,0.7998046875,NaN
37,39214,1,0,NaN,1,NaN,0.7998046875,NaN
38,40033,1,0,NaN,1,NaN,0.798828125,NaN
39,40851,1,0,NaN,1,NaN,0.7998046875,NaN
40,41670,1,0,NaN,1,NaN,0.7998046875,NaN
41,42489,1,1,NaN,NaN,1,1.1201171875,1.2509765625
42,43636,1,0,0.130859375,1,NaN,0.798828125,NaN
43,44454,1,0,NaN,1,NaN,0.7998046875,NaN
44,45273,1,0,NaN,1,NaN,0.7998046875,NaN
45,46092,1,0,NaN,1,NaN,0.7998046875,NaN
46,46911,1,0,NaN,1,NaN,0.7998046875,NaN
47,47730,1,0,NaN,1,NaN,0.7998046875,NaN
48,48549,1,0,NaN,1,NaN,0.7998046875,NaN
49,49368,1,0,NaN,1,NaN,0.798828125,NaN
50,50186,1,0,NaN,1,NaN,0.7998046875,NaN
51,51005,1,0,NaN,1,NaN,0.7998046875,NaN
52,51824,1,0,NaN,1,NaN,0.7998046875,NaN
53,52643,1,0,NaN,1,NaN,0.7998046875,NaN
54,53462,1,1,NaN,NaN,1,1.119140625,1.26953125
55,54608,1,0,0.150390625,1,NaN,0.7998046875,NaN
56,55427,1,0,NaN,1,NaN,0.7998046875,NaN
57,56246,1,0,NaN,1,NaN,0.7998046875,NaN
58,57065,1,0,NaN,1,NaN,0.7998046875,NaN
59,57884,1,0,NaN,1,NaN,0.7998046875,NaN
60,58703,1,0,NaN,1,NaN,0.798828125,NaN
61,59521,1,0,NaN,1,NaN,0.7998046875,NaN
62,60340,1,0,NaN,1,NaN,0.7998046875,NaN
63,61159,1,0,NaN,1,NaN,0.7998046875,NaN
64,61978,1,0,NaN,1,NaN,0.7998046875,NaN
65,62797,1,0,NaN,1,NaN,0.7998046875,NaN
66,63616,1,0,NaN,1,NaN,0.7998046875,NaN
67,64435,1,0,NaN,1,NaN,0.798828125,NaN
68,65253,1,0,NaN,1,NaN,0.7998046875,NaN
69,66072,1,1,NaN,NaN,0,1.1201171875,NaN
70,67219,1,0,NaN,1,NaN,0.7998046875,NaN
71,68038,1,0,NaN,1,NaN,0.798828125,NaN
72,68856,1,0,NaN,1,NaN,0.7998046875,NaN
73,69675,1,0,NaN,1,NaN,0.7998046875,NaN
74,70494,1,0,NaN,1,NaN,0.7998046875,NaN
75,71313,1,0,NaN,1,NaN,0.7998046875,NaN
76,72132,1,0,NaN,1,NaN,0.7998046875,NaN
77,72951,1,0,NaN,1,NaN,0.7998046875,NaN
78,73770,1,0,NaN,1,NaN,0.798828125,NaN
79,74588,1,1,NaN,NaN,1,1.1201171875,1.7724609375
80,75735,1,0,0.65234375,1,NaN,0.7998046875,NaN
81,76554,1,0,NaN,1,NaN,0.7998046875,NaN
82,77373,1,0,NaN,1,NaN,0.798828125,NaN
83,78191,1,0,NaN,1,NaN,0.7998046875,NaN
84,79010,1,0,NaN,1,NaN,0.7998046875,NaN
85,79829,1,0,NaN,1,NaN,0.7998046875,NaN
86,80648,1,0,NaN,1,NaN,0.7998046875,NaN
87,81467,1,0,NaN,1,NaN,0.7998046875,NaN
88,82286,1,0,NaN,1,NaN,0.7998046875,NaN
89,83105,1,0,NaN,1,NaN,0.7998046875,NaN
90,83924,1,0,NaN,1,NaN,0.798828125,NaN
91,84742,1,0,NaN,1,NaN,0.7998046875,NaN
92,85561,1,0,NaN,1,NaN,0.7998046875,NaN
93,86380,1,1,NaN,NaN,0,1.119140625,NaN
94,87526,1,0,NaN,1,NaN,0.7998046875,NaN
95,88345,1,0,NaN,1,NaN,0.7998046875,NaN
96,89164,1,0,NaN,1,NaN,0.7998046875,NaN
97,89983,1,0,NaN,1,NaN,0.7998046875,NaN
98,90802,1,0,NaN,1,NaN,0.7998046875,NaN
99,91621,1,0,NaN,1,NaN,0.7998046875,NaN
100,92440,1,0,NaN,1,NaN,0.7998046875,NaN
101,93259,1,0,NaN,1,NaN,0.798828125,NaN
102,94077,1,0,NaN,1,NaN,0.7998046875,NaN
103,94896,1,0,NaN,1,NaN,0.7998046875,NaN
104,95715,1,0,NaN,1,NaN,0.7998046875,NaN
105,96534,1,1,NaN,NaN,1,1.119140625,1.3720703125
106,97680,1,0,0.2529296875,1,NaN,0.7998046875,NaN
107,98499,1,0,NaN,1,NaN,0.7998046875,NaN
108,99318,1,0,NaN,1,NaN,0.7998046875,NaN
109,100137,1,0,NaN,1,NaN,0.7998046875,NaN
110,100956,1,0,NaN,1,NaN,0.7998046875,NaN
111,101775,1,0,NaN,1,NaN,0.7998046875,NaN
112,102594,1,0,NaN,1,NaN,0.798828125,NaN
113,103412,1,0,NaN,1,NaN,0.7998046875,NaN
114,104231,1,0,NaN,1,NaN,0.7998046875,NaN
115,105050,1,0,NaN,1,NaN,0.7998046875,NaN
116,105869,1,0,NaN,1,NaN,0.7998046875,NaN
117,106688,1,0,NaN,1,NaN,0.7998046875,NaN
118,107507,1,1,NaN,NaN,1,1.119140625,1.5322265625
119,108653,1,0,0.4130859375,1,NaN,0.7998046875,NaN
120,109472,1,0,NaN,1,NaN,0.7998046875,NaN
121,110291,1,0,NaN,1,NaN,0.7998046875,NaN
122,111110,1,0,NaN,1,NaN,0.7998046875,NaN
123,111929,1,0,NaN,1,NaN,0.798828125,NaN
124,112747,1,0,NaN,1,NaN,0.7998046875,NaN
125,113566,1,1,NaN,NaN,1,1.1201171875,1.384765625
126,114713,1,0,0.2646484375,1,NaN,0.7998046875,NaN
127,115532,1,0,NaN,1,NaN,0.798828125,NaN
128,116350,1,0,NaN,1,NaN,0.7998046875,NaN
129,117169,1,0,NaN,1,NaN,0.7998046875,NaN
130,117988,1,0,NaN,1,NaN,0.7998046875,NaN
131,118807,1,0,NaN,1,NaN,0.7998046875,NaN
132,119626,1,0,NaN,1,NaN,0.7998046875,NaN
133,120445,1,0,NaN,1,NaN,0.7998046875,NaN
134,121264,1,0,NaN,1,NaN,0.798828125,NaN
135,122082,1,0,NaN,1,NaN,0.7998046875,NaN
136,122901,1,0,NaN,1,NaN,0.7998046875,NaN
137,123720,1,0,NaN,1,NaN,0.7998046875,NaN
138,124539,1,0,NaN,1,NaN,0.7998046875,NaN
139,125358,1,1,NaN,NaN,1,1.119140625,1.2744140625
140,126504,1,0,0.1552734375,1,NaN,0.7998046875,NaN
141,127323,1,0,NaN,1,NaN,0.7998046875,NaN
142,128142,1,0,NaN,1,NaN,0.7998046875,NaN
143,128961,1,0,NaN,1,NaN,0.7998046875,NaN
144,129780,1,0,NaN,1,NaN,0.7998046875,NaN
145,130599,1,0,NaN,1,NaN,0.798828125,NaN
146,131417,1,0,NaN,1,NaN,0.7998046875,NaN
147,132236,1,0,NaN,1,NaN,0.7998046875,NaN
148,133055,1,0,NaN,1,NaN,0.7998046875,NaN
149,133874,1,0,NaN,1,NaN,0.7998046875,NaN
150,134693,1,0,NaN,1,NaN,0.7998046875,NaN
151,135512,1,1,NaN,NaN,1,1.119140625,1.3271484375
152,136658,1,0,0.2080078125,1,NaN,0.7998046875,NaN
153,137477,1,0,NaN,1,NaN,0.7998046875,NaN
154,138296,1,0,NaN,1,NaN,0.7998046875,NaN
155,139115,1,0,NaN,1,NaN,0.7998046875,NaN
156,139934,1,0,NaN,1,NaN,0.7998046875,NaN
157,140753,1,0,NaN,1,NaN,0.798828125,NaN
158,141571,1,0,NaN,1,NaN,0.7998046875,NaN
159,142390,1,1,NaN,NaN,1,1.1201171875,1.3603515625
160,143537,1,0,0.240234375,1,NaN,0.7998046875,NaN
161,144356,1,0,NaN,1,NaN,0.798828125,NaN
162,145174,1,0,NaN,1,NaN,0.7998046875,NaN
163,145993,1,0,NaN,1,NaN,0.7998046875,NaN
164,146812,1,0,NaN,1,NaN,0.7998046875,NaN
165,147631,1,0,NaN,1,NaN,0.7998046875,NaN
166,148450,1,0,NaN,1,NaN,0.7998046875,NaN
167,149269,1,0,NaN,1,NaN,0.7998046875,NaN
168,150088,1,0,NaN,1,NaN,0.798828125,NaN
169,150906,1,0,NaN,1,NaN,0.7998046875,NaN
170,151725,1,0,NaN,1,NaN,0.7998046875,NaN
171,152544,1,0,NaN,1,NaN,0.7998046875,NaN
172,153363,1,0,NaN,1,NaN,0.7998046875,NaN
173,154182,1,1,NaN,NaN,1,1.119140625,1.4072265625
174,155328,1,0,0.2880859375,1,NaN,0.7998046875,NaN
175,156147,1,0,NaN,1,NaN,0.7998046875,NaN
176,156966,1,0,NaN,1,NaN,0.7998046875,NaN
177,157785,1,0,NaN,1,NaN,0.7998046875,NaN
178,158604,1,0,NaN,1,NaN,0.7998046875,NaN
179,159423,1,0,NaN,1,NaN,0.798828125,NaN
180,160241,1,0,NaN,1,NaN,0.7998046875,NaN
181,161060,1,0,NaN,1,NaN,0.7998046875,NaN
182,161879,1,1,NaN,NaN,1,1.1201171875,1.4521484375
183,163026,1,0,0.33203125,1,NaN,0.798828125,NaN
184,163844,1,0,NaN,1,NaN,0.7998046875,NaN
185,164663,1,0,NaN,1,NaN,0.7998046875,NaN
186,165482,1,0,NaN,1,NaN,0.7998046875,NaN
187,166301,1,0,NaN,1,NaN,0.7998046875,NaN
188,167120,1,0,NaN,1,NaN,0.7998046875,NaN
189,167939,1,0,NaN,1,NaN,0.7998046875,NaN
190,168758,1,1,NaN,NaN,1,1.119140625,1.40625
191,169904,1,0,0.287109375,1,NaN,0.7998046875,NaN
192,170723,1,0,NaN,1,NaN,0.7998046875,NaN
193,171542,1,0,NaN,1,NaN,0.7998046875,NaN
194,172361,1,0,NaN,1,NaN,0.798828125,NaN
195,173179,1,0,NaN,1,NaN,0.7998046875,NaN
196,173998,1,0,NaN,1,NaN,0.7998046875,NaN
197,174817,1,0,NaN,1,NaN,0.7998046875,NaN
198,175636,1,0,NaN,1,NaN,0.7998046875,NaN
199,176455,1,0,NaN,1,NaN,0.7998046875,NaN
200,177274,1,0,NaN,1,NaN,0.7998046875,NaN
201,178093,1,0,NaN,1,NaN,0.798828125,NaN
202,178911,1,0,NaN,1,NaN,0.7998046875,NaN
203,179730,1,0,NaN,1,NaN,0.7998046875,NaN
204,180549,1,1,NaN,NaN,1,1.1201171875,1.87890625
205,181696,1,0,0.7587890625,1,NaN,0.798828125,NaN
206,182514,1,0,NaN,1,NaN,0.7998046875,NaN
207,183333,1,0,NaN,1,NaN,0.7998046875,NaN
208,184152,1,0,NaN,1,NaN,0.7998046875,NaN
209,184971,1,0,NaN,1,NaN,0.7998046875,NaN
210,185790,1,0,NaN,1,NaN,0.7998046875,NaN
211,186609,1,0,NaN,1,NaN,0.7998046875,NaN
212,187428,1,0,NaN,1,NaN,0.7998046875,NaN
213,188247,1,0,NaN,1,NaN,0.798828125,NaN
214,189065,1,1,NaN,NaN,0,1.1201171875,NaN
215,190212,1,0,NaN,1,NaN,0.7998046875,NaN
216,191031,1,0,NaN,1,NaN,0.7998046875,NaN
217,191850,1,0,NaN,1,NaN,0.798828125,NaN
218,192668,1,0,NaN,1,NaN,0.7998046875,NaN
219,193487,1,0,NaN,1,NaN,0.7998046875,NaN
220,194306,1,0,NaN,1,NaN,0.7998046875,NaN
221,195125,1,0,NaN,1,NaN,0.7998046875,NaN
222,195944,1,1,NaN,NaN,1,1.119140625,1.3564453125
223,197090,1,0,0.2373046875,1,NaN,0.7998046875,NaN
224,197909,1,0,NaN,1,NaN,0.7998046875,NaN
225,198728,1,0,NaN,1,NaN,54.365234375,NaN
226,254398,2,0,NaN,1,NaN,0.798828125,NaN
227,255216,2,0,NaN,1,NaN,0.7998046875,NaN
228,256035,2,0,NaN,1,NaN,0.798828125,NaN
229,256853,2,0,NaN,1,NaN,0.7998046875,NaN
230,257672,2,0,NaN,1,NaN,0.7998046875,NaN
231,258491,2,0,NaN,1,NaN,0.7998046875,NaN
232,259310,2,0,NaN,1,NaN,0.7998046875,NaN
233,260129,2,0,NaN,1,NaN,0.7998046875,NaN
234,260948,2,0,NaN,1,NaN,0.7998046875,NaN
235,261767,2,1,NaN,NaN,0,1.119140625,NaN
236,262913,2,0,NaN,1,NaN,0.7998046875,NaN
237,263732,2,0,NaN,1,NaN,0.7998046875,NaN
238,264551,2,0,NaN,1,NaN,0.7998046875,NaN
239,265370,2,0,NaN,1,NaN,0.7998046875,NaN
240,266189,2,0,NaN,1,NaN,0.798828125,NaN
241,267007,2,0,NaN,1,NaN,0.7998046875,NaN
242,267826,2,0,NaN,1,NaN,0.7998046875,NaN
243,268645,2,0,NaN,1,NaN,0.7998046875,NaN
244,269464,2,0,NaN,1,NaN,0.7998046875,NaN
245,270283,2,0,NaN,1,NaN,0.7998046875,NaN
246,271102,2,0,NaN,1,NaN,0.7998046875,NaN
247,271921,2,1,NaN,NaN,1,1.119140625,1.298828125
248,273067,2,0,0.1796875,1,NaN,0.7998046875,NaN
249,273886,2,0,NaN,1,NaN,0.7998046875,NaN
250,274705,2,0,NaN,1,NaN,0.7998046875,NaN
251,275524,2,0,NaN,1,NaN,0.798828125,NaN
252,276342,2,0,NaN,1,NaN,0.7998046875,NaN
253,277161,2,0,NaN,1,NaN,0.7998046875,NaN
254,277980,2,0,NaN,1,NaN,0.7998046875,NaN
255,278799,2,1,NaN,NaN,1,1.119140625,1.7451171875
256,279945,2,0,0.6259765625,1,NaN,0.7998046875,NaN
257,280764,2,0,NaN,1,NaN,0.7998046875,NaN
258,281583,2,0,NaN,1,NaN,0.7998046875,NaN
259,282402,2,0,NaN,1,NaN,0.7998046875,NaN
260,283221,2,0,NaN,1,NaN,0.7998046875,NaN
261,284040,2,0,NaN,1,NaN,0.7998046875,NaN
262,284859,2,0,NaN,1,NaN,0.798828125,NaN
263,285677,2,0,NaN,1,NaN,0.7998046875,NaN
264,286496,2,0,NaN,1,NaN,0.7998046875,NaN
265,287315,2,0,NaN,1,NaN,0.7998046875,NaN
266,288134,2,1,NaN,NaN,1,1.119140625,1.51171875
267,289280,2,0,0.392578125,1,NaN,0.7998046875,NaN
268,290099,2,0,NaN,1,NaN,0.7998046875,NaN
269,290918,2,0,NaN,1,NaN,0.7998046875,NaN
270,291737,2,0,NaN,1,NaN,0.7998046875,NaN
271,292556,2,0,NaN,1,NaN,0.7998046875,NaN
272,293375,2,0,NaN,1,NaN,0.7998046875,NaN
273,294194,2,0,NaN,1,NaN,0.798828125,NaN
274,295012,2,0,NaN,1,NaN,0.7998046875,NaN
275,295831,2,0,NaN,1,NaN,0.7998046875,NaN
276,296650,2,1,NaN,NaN,1,1.1201171875,1.5078125
277,297797,2,0,0.3876953125,1,NaN,0.798828125,NaN
278,298615,2,0,NaN,1,NaN,0.7998046875,NaN
279,299434,2,0,NaN,1,NaN,0.7998046875,NaN
280,300253,2,0,NaN,1,NaN,0.7998046875,NaN
281,301072,2,0,NaN,1,NaN,0.7998046875,NaN
282,301891,2,0,NaN,1,NaN,0.7998046875,NaN
283,302710,2,0,NaN,1,NaN,0.7998046875,NaN
284,303529,2,0,NaN,1,NaN,0.798828125,NaN
285,304347,2,0,NaN,1,NaN,0.7998046875,NaN
286,305166,2,0,NaN,1,NaN,0.7998046875,NaN
287,305985,2,0,NaN,1,NaN,0.7998046875,NaN
288,306804,2,1,NaN,NaN,1,1.119140625,1.435546875
289,307950,2,0,0.31640625,1,NaN,0.7998046875,NaN
290,308769,2,0,NaN,1,NaN,0.7998046875,NaN
291,309588,2,0,NaN,1,NaN,0.7998046875,NaN
292,310407,2,0,NaN,1,NaN,0.7998046875,NaN
293,311226,2,0,NaN,1,NaN,0.7998046875,NaN
294,312045,2,0,NaN,1,NaN,0.7998046875,NaN
295,312864,2,0,NaN,1,NaN,0.7998046875,NaN
296,313683,2,0,NaN,1,NaN,0.798828125,NaN
297,314501,2,0,NaN,1,NaN,0.7998046875,NaN
298,315320,2,0,NaN,1,NaN,0.7998046875,NaN
299,316139,2,0,NaN,1,NaN,0.7998046875,NaN
300,316958,2,0,NaN,1,NaN,0.7998046875,NaN
301,317777,2,1,NaN,NaN,1,1.119140625,1.296875
302,318923,2,0,0.177734375,1,NaN,0.7998046875,NaN
303,319742,2,0,NaN,1,NaN,0.7998046875,NaN
304,320561,2,0,NaN,1,NaN,0.7998046875,NaN
305,321380,2,0,NaN,1,NaN,0.7998046875,NaN
306,322199,2,0,NaN,1,NaN,0.7998046875,NaN
307,323018,2,0,NaN,1,NaN,0.798828125,NaN
308,323836,2,0,NaN,1,NaN,0.7998046875,NaN
309,324655,2,0,NaN,1,NaN,0.7998046875,NaN
310,325474,2,0,NaN,1,NaN,0.7998046875,NaN
311,326293,2,0,NaN,1,NaN,0.7998046875,NaN
312,327112,2,0,NaN,1,NaN,0.7998046875,NaN
313,327931,2,0,NaN,1,NaN,0.7998046875,NaN
314,328750,2,1,NaN,NaN,1,1.119140625,1.3466796875
315,329896,2,0,0.2275390625,1,NaN,0.7998046875,NaN
316,330715,2,0,NaN,1,NaN,0.7998046875,NaN
317,331534,2,0,NaN,1,NaN,0.7998046875,NaN
318,332353,2,0,NaN,1,NaN,0.798828125,NaN
319,333171,2,0,NaN,1,NaN,0.7998046875,NaN
320,333990,2,0,NaN,1,NaN,0.7998046875,NaN
321,334809,2,0,NaN,1,NaN,0.7998046875,NaN
322,335628,2,0,NaN,1,NaN,0.7998046875,NaN
323,336447,2,0,NaN,1,NaN,0.7998046875,NaN
324,337266,2,0,NaN,1,NaN,0.7998046875,NaN
325,338085,2,0,NaN,1,NaN,0.798828125,NaN
326,338903,2,0,NaN,1,NaN,0.7998046875,NaN
327,339722,2,1,NaN,NaN,1,1.1201171875,1.4599609375
328,340869,2,0,0.33984375,1,NaN,0.7998046875,NaN
329,341688,2,0,NaN,1,NaN,0.798828125,NaN
330,342506,2,0,NaN,1,NaN,0.7998046875,NaN
331,343325,2,0,NaN,1,NaN,0.7998046875,NaN
332,344144,2,0,NaN,1,NaN,0.7998046875,NaN
333,344963,2,0,NaN,1,NaN,0.7998046875,NaN
334,345782,2,0,NaN,1,NaN,0.7998046875,NaN
335,346601,2,1,NaN,NaN,1,1.119140625,1.5380859375
336,347747,2,0,0.4189453125,1,NaN,0.7998046875,NaN
337,348566,2,0,NaN,1,NaN,0.7998046875,NaN
338,349385,2,0,NaN,1,NaN,0.7998046875,NaN
339,350204,2,0,NaN,1,NaN,0.7998046875,NaN
340,351023,2,0,NaN,1,NaN,0.798828125,NaN
341,351841,2,0,NaN,1,NaN,0.7998046875,NaN
342,352660,2,0,NaN,1,NaN,0.7998046875,NaN
343,353479,2,0,NaN,1,NaN,0.7998046875,NaN
344,354298,2,0,NaN,1,NaN,0.7998046875,NaN
345,355117,2,1,NaN,NaN,1,1.119140625,1.42578125
346,356263,2,0,0.306640625,1,NaN,0.7998046875,NaN
347,357082,2,0,NaN,1,NaN,0.7998046875,NaN
348,357901,2,0,NaN,1,NaN,0.7998046875,NaN
349,358720,2,0,NaN,1,NaN,0.7998046875,NaN
350,359539,2,0,NaN,1,NaN,0.7998046875,NaN
351,360358,2,0,NaN,1,NaN,0.7998046875,NaN
352,361177,2,0,NaN,1,NaN,0.798828125,NaN
353,361995,2,0,NaN,1,NaN,0.7998046875,NaN
354,362814,2,0,NaN,1,NaN,0.7998046875,NaN
355,363633,2,0,NaN,1,NaN,0.7998046875,NaN
356,364452,2,0,NaN,1,NaN,0.7998046875,NaN
357,365271,2,0,NaN,1,NaN,0.7998046875,NaN
358,366090,2,0,NaN,1,NaN,0.7998046875,NaN
359,366909,2,0,NaN,1,NaN,0.798828125,NaN
360,367727,2,1,NaN,NaN,0,1.1201171875,NaN
361,368874,2,0,NaN,1,NaN,0.7998046875,NaN
362,369693,2,0,NaN,1,NaN,0.7998046875,NaN
363,370512,2,0,NaN,1,NaN,0.798828125,NaN
364,371330,2,0,NaN,1,NaN,0.7998046875,NaN
365,372149,2,0,NaN,1,NaN,0.7998046875,NaN
366,372968,2,0,NaN,1,NaN,0.7998046875,NaN
367,373787,2,0,NaN,1,NaN,0.7998046875,NaN
368,374606,2,0,NaN,1,NaN,0.7998046875,NaN
369,375425,2,0,NaN,1,NaN,0.7998046875,NaN
370,376244,2,0,NaN,1,NaN,0.798828125,NaN
371,377062,2,0,NaN,1,NaN,0.7998046875,NaN
372,377881,2,0,NaN,1,NaN,0.7998046875,NaN
373,378700,2,0,NaN,1,NaN,0.7998046875,NaN
374,379519,2,0,NaN,1,NaN,0.7998046875,NaN
375,380338,2,1,NaN,NaN,1,1.119140625,1.4814453125
376,381484,2,0,0.3623046875,1,NaN,0.7998046875,NaN
377,382303,2,0,NaN,1,NaN,0.7998046875,NaN
378,383122,2,0,NaN,1,NaN,0.7998046875,NaN
379,383941,2,0,NaN,1,NaN,0.7998046875,NaN
380,384760,2,0,NaN,1,NaN,0.7998046875,NaN
381,385579,2,0,NaN,1,NaN,0.798828125,NaN
382,386397,2,0,NaN,1,NaN,0.7998046875,NaN
383,387216,2,1,NaN,NaN,1,1.1201171875,1.4521484375
384,388363,2,0,0.33203125,1,NaN,0.7998046875,NaN
385,389182,2,0,NaN,1,NaN,0.798828125,NaN
386,390000,2,0,NaN,1,NaN,0.7998046875,NaN
387,390819,2,0,NaN,1,NaN,0.7998046875,NaN
388,391638,2,0,NaN,1,NaN,0.7998046875,NaN
389,392457,2,0,NaN,1,NaN,0.7998046875,NaN
390,393276,2,0,NaN,1,NaN,0.7998046875,NaN
391,394095,2,0,NaN,1,NaN,0.7998046875,NaN
392,394914,2,0,NaN,1,NaN,0.798828125,NaN
393,395732,2,1,NaN,NaN,1,1.1201171875,1.7763671875
394,396879,2,0,0.65625,1,NaN,0.7998046875,NaN
395,397698,2,0,NaN,1,NaN,0.7998046875,NaN
396,398517,2,0,NaN,1,NaN,0.798828125,NaN
397,399335,2,0,NaN,1,NaN,0.7998046875,NaN
398,400154,2,0,NaN,1,NaN,0.7998046875,NaN
399,400973,2,0,NaN,1,NaN,0.7998046875,NaN
400,401792,2,0,NaN,1,NaN,0.7998046875,NaN
401,402611,2,0,NaN,1,NaN,0.7998046875,NaN
402,403430,2,0,NaN,1,NaN,0.7998046875,NaN
403,404249,2,0,NaN,1,NaN,0.7998046875,NaN
404,405068,2,0,NaN,1,NaN,0.798828125,NaN
405,405886,2,0,NaN,1,NaN,0.7998046875,NaN
406,406705,2,0,NaN,1,NaN,0.7998046875,NaN
407,407524,2,0,NaN,1,NaN,0.7998046875,NaN
408,408343,2,1,NaN,NaN,1,1.119140625,1.2724609375
409,409489,2,0,0.1533203125,1,NaN,0.7998046875,NaN
410,410308,2,0,NaN,1,NaN,0.7998046875,NaN
411,411127,2,0,NaN,1,NaN,0.7998046875,NaN
412,411946,2,0,NaN,1,NaN,0.7998046875,NaN
413,412765,2,0,NaN,1,NaN,0.7998046875,NaN
414,413584,2,0,NaN,1,NaN,0.7998046875,NaN
415,414403,2,0,NaN,1,NaN,0.798828125,NaN
416,415221,2,0,NaN,1,NaN,0.7998046875,NaN
417,416040,2,0,NaN,1,NaN,0.7998046875,NaN
418,416859,2,1,NaN,NaN,1,1.1201171875,1.3310546875
419,418006,2,0,0.2109375,1,NaN,0.798828125,NaN
420,418824,2,0,NaN,1,NaN,0.7998046875,NaN
421,419643,2,0,NaN,1,NaN,0.7998046875,NaN
422,420462,2,0,NaN,1,NaN,0.7998046875,NaN
423,421281,2,0,NaN,1,NaN,0.7998046875,NaN
424,422100,2,0,NaN,1,NaN,0.7998046875,NaN
425,422919,2,0,NaN,1,NaN,0.7998046875,NaN
426,423738,2,0,NaN,1,NaN,0.798828125,NaN
427,424556,2,0,NaN,1,NaN,0.7998046875,NaN
428,425375,2,0,NaN,1,NaN,0.7998046875,NaN
429,426194,2,0,NaN,1,NaN,0.7998046875,NaN
430,427013,2,1,NaN,NaN,1,1.119140625,1.3056640625
431,428159,2,0,0.1865234375,1,NaN,0.7998046875,NaN
432,428978,2,0,NaN,1,NaN,0.7998046875,NaN
433,429797,2,0,NaN,1,NaN,0.7998046875,NaN
434,430616,2,0,NaN,1,NaN,0.7998046875,NaN
435,431435,2,0,NaN,1,NaN,0.7998046875,NaN
436,432254,2,0,NaN,1,NaN,0.7998046875,NaN
437,433073,2,1,NaN,NaN,1,1.119140625,1.771484375
438,434219,2,0,0.65234375,1,NaN,0.7998046875,NaN
439,435038,2,0,NaN,1,NaN,0.7998046875,NaN
440,435857,2,0,NaN,1,NaN,0.7998046875,NaN
441,436676,2,0,NaN,1,NaN,0.798828125,NaN
442,437494,2,0,NaN,1,NaN,0.7998046875,NaN
443,438313,2,0,NaN,1,NaN,0.7998046875,NaN
444,439132,2,0,NaN,1,NaN,0.7998046875,NaN
445,439951,2,0,NaN,1,NaN,0.7998046875,NaN
446,440770,2,0,NaN,1,NaN,0.7998046875,NaN
447,441589,2,1,NaN,NaN,1,1.119140625,1.3720703125
448,442735,2,0,0.2529296875,1,NaN,0.7998046875,NaN
449,443554,2,0,NaN,1,NaN,0.7998046875,NaN
450,444373,2,0,NaN,1,NaN,96.6943359375,NaN
451,543388,3,0,NaN,1,NaN,0.798828125,NaN
452,544206,3,0,NaN,1,NaN,0.7998046875,NaN
453,545025,3,0,NaN,1,NaN,0.7998046875,NaN
454,545844,3,0,NaN,1,NaN,0.798828125,NaN
455,546662,3,0,NaN,1,NaN,0.7998046875,NaN
456,547481,3,0,NaN,1,NaN,0.7998046875,NaN
457,548300,3,0,NaN,1,NaN,0.7998046875,NaN
458,549119,3,0,NaN,1,NaN,0.7998046875,NaN
459,549938,3,0,NaN,1,NaN,0.7998046875,NaN
460,550757,3,0,NaN,1,NaN,0.7998046875,NaN
461,551576,3,1,NaN,NaN,1,1.119140625,1.611328125
